stage,epoch,split,loss,year_mae,price_log_mae,elapsed_s
1,0,train,0.45974516774873314,2.5931583135567013,0.5162885839806042,78.40358853340149
1,0,val,0.4107163217677016,2.3599528728616814,0.505313954537112,78.40358853340149
1,1,train,0.40245795401226586,2.4064218553958425,0.4774223282919181,75.79945349693298
1,1,val,0.37440198548045495,2.311338895642337,0.46402977719498706,75.79945349693298
1,2,train,0.38384264115803113,2.341746701552714,0.46436313750983804,76.39985299110413
1,2,val,0.3509211008748542,2.22630848636464,0.4398656479591344,76.39985299110413
1,3,train,0.37201508425352425,2.301221224771434,0.4562968933263667,76.30083417892456
1,3,val,0.3448270245947433,2.2016574161525546,0.4371059457326896,76.30083417892456
1,4,train,0.3631602505137728,2.2674417863677783,0.45077707938803085,77.06879377365112
1,4,val,0.3364701650183817,2.140160864031973,0.44071555790317274,77.06879377365112
2,0,train,0.31286357756448596,2.076984467953561,0.4143693484347194,81.1065502166748
2,0,val,0.25884476485531965,1.857689884614521,0.37560962659324726,81.1065502166748
2,1,train,0.2491314314767678,1.8277114963854986,0.3662724731820377,80.13065242767334
2,1,val,0.2128282563577125,1.6651055397168628,0.3363933795869598,80.13065242767334
2,2,train,0.2154520590948323,1.6868586132059853,0.33918398068550065,80.79257106781006
2,2,val,0.19729135717279417,1.5864201011396473,0.32649665511706577,80.79257106781006
2,3,train,0.19207753827469046,1.5795528643364227,0.3203161394218874,80.62291216850281
2,3,val,0.1853113036129108,1.5286777881347722,0.3144016895553873,80.62291216850281
2,4,train,0.17466739186245583,1.4974541525897878,0.30518839571718703,80.2814633846283
2,4,val,0.17863013209084863,1.4829943719313146,0.30830849788397396,80.2814633846283
2,5,train,0.16052995511927837,1.427770311989987,0.29284827233134014,79.77869415283203
2,5,val,0.1734404413117848,1.4497021536639434,0.30460545378035325,79.77869415283203
2,6,train,0.14924297094853847,1.3720641296092588,0.2829008984427502,79.82589888572693
2,6,val,0.16929736735457995,1.4375391855880553,0.2977985426837295,79.82589888572693
2,7,train,0.13913882404842504,1.3235739746568955,0.27324567463155236,81.9150595664978
2,7,val,0.16562205640424646,1.401049503666249,0.2965374092688468,81.9150595664978
2,8,train,0.13083301250289822,1.2787310217696684,0.2651318404249515,80.697913646698
2,8,val,0.1608191651834487,1.380067583125403,0.2901996201852207,80.697913646698
2,9,train,0.12397576191086868,1.2408317740748143,0.2583387930946621,80.45954585075378
2,9,val,0.1592445303970575,1.370339630947839,0.28691331185226987,80.45954585075378
2,10,train,0.1175493243049722,1.207373814640589,0.25145729654450977,80.55802774429321
2,10,val,0.15426941491128343,1.3478912106917431,0.28345835202606234,80.55802774429321
2,11,train,0.11213788906947407,1.178189724478956,0.24554380439174964,80.95271706581116
2,11,val,0.1547374515654193,1.3388588253768738,0.28649982871114166,80.95271706581116
2,12,train,0.10687185767798162,1.145443180111918,0.2402324262024753,80.13471603393555
2,12,val,0.15500222834801206,1.3468425859111066,0.2835862243818821,80.13471603393555
2,13,train,0.10213578784825489,1.1200863095641351,0.2351281759208475,80.11025261878967
2,13,val,0.15383238566111346,1.3316769640445925,0.2850019756030933,80.11025261878967
2,14,train,0.09882268407104543,1.0984283422385546,0.23087878150174254,80.34840774536133
2,14,val,0.14948046747369068,1.3131424385383719,0.2774696972011583,80.34840774536133
