stage,epoch,split,loss,year_mae,price_log_mae,elapsed_s
1,0,train,0.6624903818191086,3.170936146212166,0.6555653548989845,24.24873995780945
1,0,val,0.6090827348726903,3.012056496050957,0.619036898098878,24.24873995780945
1,1,train,0.6184015734748946,3.0338531091291574,0.6289284470515191,24.30971670150757
1,1,val,0.5958189201407322,2.9498564062495323,0.6127308717904907,24.30971670150757
1,2,train,0.6052597260606881,2.9965875670730178,0.619066835730445,24.845381259918213
1,2,val,0.5772386579953224,2.895757554596015,0.6022893655167653,24.845381259918213
1,3,train,0.5992746169725176,2.964044219823619,0.6174458340301854,24.942559957504272
1,3,val,0.5728214981134584,2.8855410524671603,0.603381646751834,24.942559957504272
1,4,train,0.5905872555068843,2.9526430937357273,0.6105190595522604,25.111997604370117
1,4,val,0.5833688386185371,2.901838748319606,0.6049839758697969,25.111997604370117
2,0,train,0.41332986353181345,2.3634856715365578,0.49641220877430703,32.70337653160095
2,0,val,0.3108176497086212,1.982409553353166,0.4262050981486764,32.70337653160095
2,1,train,0.3022370746287193,1.9883171445727654,0.4150685346040936,32.52370762825012
2,1,val,0.26745341680575935,1.8298663296246693,0.38905338950095325,32.52370762825012
2,2,train,0.2598507639452897,1.8316370593114244,0.3808676049300976,32.50511074066162
2,2,val,0.25371419748804575,1.7631719568142872,0.37786630913050917,32.50511074066162
2,3,train,0.22927827788979968,1.709128331951195,0.3564042752657643,32.65224599838257
2,3,val,0.23914739185316503,1.739099765264331,0.36020937281344834,32.65224599838257
2,4,train,0.2069864465386828,1.6217563917021496,0.33664781203026245,32.73747491836548
2,4,val,0.2270072137386948,1.6715949950941635,0.3517786289034277,32.73747491836548
2,5,train,0.18968463652865003,1.5450443344177458,0.32303854028798223,32.49280405044556
2,5,val,0.22539129576816516,1.6689314919033993,0.3482348833787618,32.49280405044556
2,6,train,0.17469126191916387,1.4849733107255307,0.3088087992482918,32.672897815704346
2,6,val,0.22526043290364361,1.6689927543772498,0.34590612765168516,32.672897815704346
2,7,train,0.16233091892787765,1.4260606906384565,0.2982541664152596,32.62995791435242
2,7,val,0.21563969891105342,1.6225925363091285,0.3387326951488509,32.62995791435242
2,8,train,0.1495118382638989,1.3680346674152184,0.2868264543478331,32.732574224472046
2,8,val,0.21042557099975162,1.6116249840701482,0.33354083839603565,32.732574224472046
2,9,train,0.14116564612856228,1.3243301245652968,0.27764233525290827,32.64768719673157
2,9,val,0.21365411751356658,1.609841794006941,0.33694609135601983,32.64768719673157
2,10,train,0.13317668677528918,1.2793451209007198,0.2709434344421514,32.61357045173645
2,10,val,0.21049292118960233,1.587289761089961,0.33501662859899695,32.61357045173645
2,11,train,0.12601066928212815,1.2454103055733967,0.2633112386350639,32.60513472557068
2,11,val,0.20936527697759977,1.5924066872255078,0.3291221389115576,32.60513472557068
2,12,train,0.1189993986191012,1.2094611345974593,0.2567974904510526,32.722405672073364
2,12,val,0.207869250544078,1.5831742640887965,0.3335683550308617,32.722405672073364
2,13,train,0.11400607682723367,1.1837280583761878,0.25040222926322564,32.53338646888733
2,13,val,0.2015964114214534,1.556484430812,0.3254189658476578,32.53338646888733
2,14,train,0.10862258875238302,1.156213828982034,0.24495759626115673,32.666457176208496
2,14,val,0.20142876738774396,1.5557035140784523,0.3246898974113486,32.666457176208496
